game_id,move_number,sfen,prev_sfen,move_usi,player,black_player,white_player,best_move,score_cp,pv
sample,10,lnsgkg1nl/5r3/ppppppspp/6p2/2P6/9/PP1PPPPPP/1S1R1K3/LN1G1GSNL b Bb 11,lnsgkg1nl/1r7/ppppppspp/6p2/2P6/9/PP1PPPPPP/1S1R1K3/LN1G1GSNL w Bb 10,8b4b,white,dimolt77,Nujabes_,8h7g,76,8h7g 1c1d 1g1f B*5d B*3f 5d3f 3g3f 4b8b
sample,11,lnsgkg1nl/5r3/ppppppspp/6p2/2P6/9/PP1PPPPPP/1S1R2K2/LN1G1GSNL w Bb 12,lnsgkg1nl/5r3/ppppppspp/6p2/2P6/9/PP1PPPPPP/1S1R1K3/LN1G1GSNL b Bb 11,4h3h,black,dimolt77,Nujabes_,1c1d,-11,6a7b 8h7g 2c2d 6h8h 4b2b 8g8f 2d2e 3i2h
sample,12,lnsg1g1nl/3k1r3/ppppppspp/6p2/2P6/9/PP1PPPPPP/1S1R2K2/LN1G1GSNL b Bb 13,lnsgkg1nl/5r3/ppppppspp/6p2/2P6/9/PP1PPPPPP/1S1R2K2/LN1G1GSNL w Bb 12,5a6b,white,dimolt77,Nujabes_,8h7g,23,8h7g 2c2d 6h8h 2d2e 8g8f 7a8b 8f8e 4b2b
sample,13,lnsg1g1nl/3k1r3/ppppppspp/6p2/2P6/9/PP1PPPPPP/1SR3K2/LN1G1GSNL w Bb 14,lnsg1g1nl/3k1r3/ppppppspp/6p2/2P6/9/PP1PPPPPP/1S1R2K2/LN1G1GSNL b Bb 13,6h7h,black,dimolt77,Nujabes_,2c2d,-7,2c2d 8h7g 7a8b 7h8h 2d2e 8g8f 4b2b 3i2h
sample,14,lnsg1g1nl/2k2r3/ppppppspp/6p2/2P6/9/PP1PPPPPP/1SR3K2/LN1G1GSNL b Bb 15,lnsg1g1nl/3k1r3/ppppppspp/6p2/2P6/9/PP1PPPPPP/1SR3K2/LN1G1GSNL w Bb 14,6b7b,white,dimolt77,Nujabes_,8h7g,3,8h7g 7a8b 6i5h 2c2d 7h8h 2d2e 8g8f 4b2b
sample,15,lnsg1g1nl/2k2r3/ppppppspp/2P3p2/9/9/PP1PPPPPP/1SR3K2/LN1G1GSNL w Bb 16,lnsg1g1nl/2k2r3/ppppppspp/6p2/2P6/9/PP1PPPPPP/1SR3K2/LN1G1GSNL b Bb 15,7e7d,black,dimolt77,Nujabes_,7c7d,97,7c7d 7h7d 7b6b 7d7f 6a7b 8h7g 4b2b 7g6f
sample,16,lnsg1g1nl/2k2r3/pp1pppspp/2p3p2/9/9/PP1PPPPPP/1SR3K2/LN1G1GSNL b Bbp 17,lnsg1g1nl/2k2r3/ppppppspp/2P3p2/9/9/PP1PPPPPP/1SR3K2/LN1G1GSNL w Bb 16,7c7d,white,dimolt77,Nujabes_,7h7d,-80,7h7d P*7c 7d7f 2c2d 8g8f B*5d 7f6f 3c4d
sample,17,lnsg1g1nl/2k2r3/pp1pppspp/2R3p2/9/9/PP1PPPPPP/1S4K2/LN1G1GSNL w BPbp 18,lnsg1g1nl/2k2r3/pp1pppspp/2p3p2/9/9/PP1PPPPPP/1SR3K2/LN1G1GSNL b Bbp 17,7h7d,black,dimolt77,Nujabes_,7b6b,78,7b6b 7d7h 7a8b 8h7g 2c2d 7g6f 2d2e 6i5h
sample,18,lnsg1g1nl/2k2r3/ppppppspp/2R3p2/9/9/PP1PPPPPP/1S4K2/LN1G1GSNL b BPb 19,lnsg1g1nl/2k2r3/pp1pppspp/2R3p2/9/9/PP1PPPPPP/1S4K2/LN1G1GSNL w BPbp 18,P*7c,white,dimolt77,Nujabes_,7d7f,-17,7d7f 2c2d 8g8f B*5d 7f6f 4b2b 3i2h 3c4d
sample,19,lnsg1g1nl/2k2r3/ppppppspp/6p2/9/2R6/PP1PPPPPP/1S4K2/LN1G1GSNL w BPb 20,lnsg1g1nl/2k2r3/ppppppspp/2R3p2/9/9/PP1PPPPPP/1S4K2/LN1G1GSNL b BPb 19,7d7f,black,dimolt77,Nujabes_,2c2d,34,2c2d 8g8f B*5d 7f6f 4b2b 8f8e 3c4d 3i2h
